"","volume","church","page","city","state","start.date","end.date","communion.general","converts","under.instruction","diocese","type","mission.number","communion.adults","communion.children","communion.men","communion.women","order","notes","converts.adult","converts.children","location"
"123",1,"",282,"Holyoke","MA","4/28/1861","5/9/1861",1850,"5",NA,"Boston","mission",37,NA,NA,NA,NA,"Paulist","",NA,NA,"Holyoke MA"
"124",1,"St. Mary's Church",284,"Elizabeth","NJ","10/6/1861","10/14/1861",950,"1",NA,"","mission",38,NA,NA,NA,NA,"Paulist","",NA,NA,"Elizabeth NJ"
"125",1,"St. Michael's Church",285,"New York","NY","11/17/1861","11/28/1861",4000,"",NA,"New York","mission",39,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"126",1,"",287,"Newport","NY","12/29/1861","1/5/1862",370,"1",NA,"","mission",40,NA,NA,NA,NA,"Paulist","",NA,NA,"Newport NY"
"127",1,"",291,"Dunmore","PA","1/19/1862","1/26/1862",700,"",NA,"","mission",41,NA,NA,NA,NA,"Paulist","",NA,NA,"Dunmore PA"
"128",1,"St. Philomena's Church",291,"Rawley","PA","2/2/1862","2/10/1862",1150,"1",NA,"","mission",42,NA,NA,NA,NA,"Paulist","",NA,NA,"Rawley PA"
"129",1,"St. John's Church",292,"Orange","NJ","2/2/1862","2/9/1862",1000,"2",NA,"","mission",43,NA,NA,NA,NA,"Paulist","",NA,NA,"Orange NJ"
"130",1,"Church of the Immaculate Conception",293,"New York","NY","3/2/1862","3/16/1862",6800,"1",NA,"New York","mission",44,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"131",1,"St. Stephen's Church",295,"New York","NY","3/30/1862","4/6/1862",2400,"",NA,"New York","mission",45,NA,NA,NA,NA,"Paulist","",NA,NA,"New York NY"
"132",1,"",295,"Scranton ","PA","5/18/1862","5/29/1862",2500,"",NA,"","mission",46,NA,NA,NA,NA,"Paulist","",NA,NA,"Scranton  PA"
"133",1,"St. Peter's Church",296,"Cambridge","MA","4/27/1862","5/7/1862",2500,"2",NA,"Boston","mission",47,NA,NA,NA,NA,"Paulist","",NA,NA,"Cambridge MA"
"134",2,"St. John's Church",1,"Stamford","CT","9/28/1862","10/5/1862",900,"2",NA,"","mission",NA,NA,NA,NA,NA,"Paulist","",NA,NA,"Stamford CT"
"135",2,"Church of the Immaculate Conception",2,"Jersey City","NJ","10/12/1862","10/23/1862",2875,"",NA,"","mission",NA,NA,NA,NA,NA,"Paulist","",NA,NA,"Jersey City NJ"
"136",2,"St. Mary's Cathedral",3,"Halifax","NS","11/30/1862","12/8/1862",5636,"4",NA,"Halifax","mission",NA,NA,NA,NA,NA,"Paulist","",NA,NA,"Halifax NS"
