volume,page,mission.number,type,church,city,state,start.date,end.date,communion.general,converts,under.instruction,diocese,communion.adults,communion.children,communion.men,communion.women,order,notes,converts.adult,converts.children,location,confirmed,pledges
4,133,,mission,St. Anne's Church,Manchester,NH,9/14/1890,9/28/1890,3559,,,,,271,1235,2053,,,,,,,1600
4,135,,mission,,Ridgway,PA,9/14/1890,9/30/1890,505,,,,,,,,,,,,,,
4,135,,mission,,Emporium,PA,9/14/1890,9/30/1890,410,,,,,,,,,,,,,,
4,135,,mission,,Cameron,PA,9/14/1890,9/30/1890,45,,,,,,,,,,,,,,
4,136,,mission,,Torrington,CT,9/21/1890,9/28/1890,1136,2,,,,,,,,,,,,,
4,137,,mission,Ss. Peter and Paul's Cathedral,Philadelphia,PA,10/5/1890,10/19/1890,9800,25,,,,1400,3750,4650,,,,,,175,1346
4,139,,mission,Church of the Annunciation,Danvers,MA,10/26/1890,11/9/1890,1418,,,,,,796,622,,,,,,,
4,140,,mission,Church of the Sacred Heart,New Haven,CT,10/26/1890,11/9/1890,3540,2,,,,340,1400,1800,,,,,,,
4,141,,mission,St. Joseph's Church,Terre Haute,IN,11/2/1890,11/9/1890,1250,9,,,,,,,,,,,,,
4,142,,mission,,Rockville,IN,11/10/1890,11/13/1890,80,,,,,,,,,,,,,,
4,143,,retreat,,South Bend,IN,10/1/1890,11/30/1890,600,,,,,,,,,,,,,,
4,144,,mission,St. James's Church,Chicago,IL,11/16/1890,11/30/1890,4780,4,,,,,1800,2980,,,,,,,
4,146,,mission,St. Mary's Star of the Sea,East Boston,MA,11/16/1890,11/30/1890,1440,1,,,,270,530,640,,,,,,,
4,148,,mission,,Portland,CT,11/16/1890,11/27/1890,1023,,,,,,,,,,,,,,
4,148,,mission,,East Hampton,CT,11/16/1890,11/27/1890,228,,,,,,,,,,,,,,
4,149,,mission,Church of the Annunciation,Manhattanville,NY,12/7/1890,12/21/1890,1720,,,,,220,750,750,,,,,,,
4,150,,mission,St. James's Church,Boston,MA,12/14/1890,12/21/1890,2500,,,,,,,,,,,,,,
4,151,,mission,St. Mary's Cathedral,Ogdensburg,NY,12/7/1890,12/21/1890,2495,14,,,,180,1075,1240,,,,,,,
4,153,,mission,Church of Our Lady of Victory,Brooklyn,NY,1/4/1891,1/18/1891,2495,6,,,,250,760,1485,,,,,,,1000
4,154,,mission,Church of St. Paul the Apostle,New York,NY,1/41891,2/1/1891,11650,7,,,,650,4550,6450,,,,,,,
4,156,,mission,Church of the Sacred Heart,Brooklyn,NY,1/25/1891,2/1/1891,5088,8,,,,,2560,2528,,,,,,,1900
4,157,,mission,St. Augustine's Church,Union Hill,NJ,2/1/1891,2/8/1891,801,,,,,,,,,,,,,,
4,158,,mission,Church of St. Francis de Sales,Geneva,NY,2/15/1891,3/1/1891,2470,2,,,,325,1025,1120,,,,,,,
4,160,,mission,St. Matthew's Church,Washington,DC,2/15/1891,2/23/1891,1300,,,,,,,,,,,,,,
4,161,,mission,St. Stephen's Church,Pittsburgh,PA,2/15/1891,3/1/1891,1582,,,,,200,732,650,,,,,,,585
4,162,,mission,Church of St. Columbkille,Brighton,MA,2/15/1891,3/1/1891,3300,,,,,480,1395,1425,,,,,,,
4,163,,mission,St. Patrick's Church,Valley Falls,RI,3/8/1891,3/22/1891,2905,1,,,,,,,,,,,,,
4,164,,mission,St. Veronica's Church,New York,NY,3/8/1891,3/22/1891,3650,4,,,,,,,,,,,,350,
4,165,,mission,Sacred Heart Church,Pittsburgh,PA,3/8/1891,3/22/1891,2453,2,,,,340,871,1242,,,,,,,260
4,166,,mission,Sacred Heart Church,Worcester,MA,4/5/1891,4/19/1891,2573,,,,,,1200,1375,,,,,,600,
4,167,,mission,St. Anne's Church,Baltimore,MD,4/5/1891,4/12/1891,1300,4,,,,,,,,,,,,,
